layer,x_mm,y_mm,shape,size_x_mm,size_y_mm,function,net
B.Cu,114.239,145.239,RoundRect,0.8,0.95,"SMDPad,CuDef",+3V3_D
B.Cu,112.589,145.239,RoundRect,0.8,0.95,"SMDPad,CuDef",SD_CMD
B.Cu,148.5,78.5,RoundRect,0.6,0.45,"SMDPad,CuDef",island_043
B.Cu,146.4,78.5,RoundRect,0.6,0.45,"SMDPad,CuDef",island_044
B.Cu,245.575,146.5,RoundRect,0.8,0.95,"SMDPad,CuDef",island_148
B.Cu,243.925,146.5,RoundRect,0.8,0.95,"SMDPad,CuDef",island_025
B.Cu,144.4,65.65,R,3.0,2.0,"SMDPad,CuDef",island_044
B.Cu,144.4,71.65,R,3.0,2.0,"SMDPad,CuDef",island_044
B.Cu,155.4,71.65,R,3.0,2.0,"SMDPad,CuDef",island_048
B.Cu,155.4,65.65,R,3.0,2.0,"SMDPad,CuDef",island_149
B.Cu,205.675,80.0,RoundRect,0.8,0.95,"SMDPad,CuDef",island_014
B.Cu,207.325,80.0,RoundRect,0.8,0.95,"SMDPad,CuDef",island_005
B.Cu,135.5,74.1,RoundRect,0.95,0.8,"SMDPad,CuDef",island_026
B.Cu,135.5,75.75,RoundRect,0.95,0.8,"SMDPad,CuDef",island_150
B.Cu,156.9,89.25,RoundRect,3.5,1.6,"SMDPad,CuDef",+9V_FILT
B.Cu,151.5,89.25,RoundRect,3.5,1.6,"SMDPad,CuDef",island_151
B.Cu,146.4,81.5,RoundRect,0.6,0.45,"SMDPad,CuDef",island_044
B.Cu,148.5,81.5,RoundRect,0.6,0.45,"SMDPad,CuDef",island_152
B.Cu,210.25,161.25,RoundRect,0.9,0.95,"SMDPad,CuDef",AUDIO_OUT_R
B.Cu,211.8,161.25,RoundRect,0.9,0.95,"SMDPad,CuDef",island_034
B.Cu,114.235,150.785,RoundRect,0.8,0.95,"SMDPad,CuDef",+3V3_D
B.Cu,112.585,150.785,RoundRect,0.8,0.95,"SMDPad,CuDef",SD_D1
B.Cu,215.175,161.25,RoundRect,0.8,0.95,"SMDPad,CuDef",island_034
B.Cu,216.825,161.25,RoundRect,0.8,0.95,"SMDPad,CuDef",island_032
B.Cu,153.25,81.5,RoundRect,0.6,0.45,"SMDPad,CuDef",island_045
B.Cu,151.15,81.5,RoundRect,0.6,0.45,"SMDPad,CuDef",island_153
B.Cu,155.463,82.5,RoundRect,0.875,0.95,"SMDPad,CuDef",island_043
B.Cu,157.037,82.5,RoundRect,0.875,0.95,"SMDPad,CuDef",+9V_FILT
B.Cu,178.125,118.955,RoundRect,0.9,0.95,"SMDPad,CuDef",island_020
B.Cu,176.575,118.955,RoundRect,0.9,0.95,"SMDPad,CuDef",island_039
